Date,Country_Region,Doses_admin,People_at_least_one_dose
2021-04-28,Venezuela,250000.0,250000.0
2021-04-29,Angola,456349.0,456349.0
2021-04-29,Venezuela,250000.0,250000.0
2021-04-30,Angola,456349.0,456349.0
2021-04-30,Venezuela,250000.0,250000.0
2021-05-01,Angola,456349.0,456349.0
2021-05-01,Venezuela,250000.0,250000.0
2021-05-02,Angola,456349.0,456349.0
2021-05-02,Venezuela,250000.0,250000.0
2021-05-03,Angola,456349.0,456349.0
2021-05-03,Venezuela,250000.0,250000.0
2021-05-04,Angola,456349.0,456349.0
2021-05-04,Venezuela,250000.0,250000.0
2021-05-05,Angola,456349.0,456349.0
2021-05-05,Venezuela,250000.0,250000.0
2021-05-06,Angola,456349.0,456349.0
2021-05-06,Venezuela,250000.0,250000.0
2021-05-07,Angola,456349.0,456349.0
2021-05-07,Venezuela,250000.0,250000.0
2021-05-08,Angola,456349.0,456349.0
2021-05-08,Venezuela,250000.0,250000.0
2021-05-09,Angola,456349.0,456349.0
2021-05-09,Venezuela,250000.0,250000.0
2021-05-10,Angola,456349.0,456349.0
2021-05-10,Venezuela,250000.0,250000.0
2021-05-11,Angola,456349.0,456349.0
2021-05-11,Venezuela,250000.0,250000.0
2021-05-12,Angola,456349.0,456349.0
2021-05-12,Venezuela,250000.0,250000.0
2021-05-13,Angola,626572.0,586377.0
2021-05-13,Venezuela,250000.0,250000.0
2021-05-14,Angola,626572.0,586377.0
2021-05-14,Venezuela,250000.0,250000.0
2021-05-15,Angola,626572.0,586377.0
2021-05-15,Venezuela,250000.0,250000.0
2021-05-16,Angola,626572.0,586377.0
2021-05-16,Venezuela,250000.0,250000.0
2021-05-17,Angola,626572.0,586377.0
2021-05-17,Venezuela,250000.0,250000.0
2021-05-18,Angola,626572.0,586377.0
2021-05-18,Venezuela,250000.0,250000.0
2021-05-19,Angola,681502.0,606287.0
2021-05-19,Venezuela,250000.0,250000.0
2021-05-20,Angola,681502.0,606287.0
2021-05-20,Venezuela,316000.0,316000.0
2021-05-21,Angola,681502.0,606287.0
2021-05-21,Venezuela,316000.0,316000.0
2021-05-22,Angola,757535.0,630984.0
2021-05-22,Venezuela,316000.0,316000.0
2021-05-23,Angola,757535.0,630984.0
2021-05-23,Venezuela,316000.0,316000.0
2021-05-24,Angola,757535.0,630984.0
2021-05-24,Venezuela,316000.0,316000.0
2021-05-25,Angola,757535.0,630984.0
2021-05-25,Venezuela,316000.0,316000.0
2021-05-26,Angola,757535.0,630984.0
2021-05-26,Venezuela,316000.0,316000.0
2021-05-27,Angola,859979.0,663049.0
2021-05-27,Venezuela,316000.0,316000.0
2021-05-28,Angola,859979.0,663049.0
2021-05-28,Venezuela,316000.0,316000.0
2021-05-29,Angola,859979.0,663049.0
2021-05-29,Venezuela,316000.0,316000.0
2021-05-30,Angola,859979.0,663049.0
2021-05-30,Venezuela,316000.0,316000.0
2021-05-31,Angola,859979.0,663049.0
2021-05-31,Venezuela,316000.0,316000.0
2021-06-01,Angola,909215.0,679034.0
2021-06-01,Venezuela,316000.0,316000.0
2021-06-02,Angola,909215.0,679034.0
2021-06-02,Venezuela,316000.0,316000.0
2021-06-03,Angola,909215.0,679034.0
2021-06-03,Venezuela,316000.0,316000.0
2021-06-04,Angola,909215.0,679034.0
2021-06-04,Venezuela,316000.0,316000.0
2021-06-05,Angola,909215.0,679034.0
2021-06-05,Venezuela,316000.0,316000.0
2021-06-06,Angola,909215.0,679034.0
2021-06-06,Venezuela,316000.0,316000.0
2021-06-07,Angola,909215.0,679034.0
2021-06-07,Venezuela,316000.0,316000.0
2021-06-08,Angola,909215.0,679034.0
2021-06-08,Venezuela,316000.0,316000.0
2021-06-09,Angola,1115919.0,740289.0
2021-06-09,Venezuela,316000.0,316000.0
2021-06-10,Angola,1115919.0,740289.0
2021-06-10,Venezuela,316000.0,316000.0
2021-06-11,Angola,1222630.0,774926.0
2021-06-11,Venezuela,316000.0,316000.0
2021-06-12,Angola,1222630.0,774926.0
2021-06-12,Venezuela,739962.0,588066.0
2021-06-13,Angola,1222630.0,774926.0
2021-06-13,Venezuela,739962.0,588066.0
2021-06-14,Angola,1222630.0,774926.0
2021-06-14,Venezuela,739962.0,588066.0
2021-06-15,Angola,1222630.0,774926.0
2021-06-15,Venezuela,739962.0,588066.0
2021-06-16,Angola,1314375.0,822109.0
2021-06-16,Venezuela,739962.0,588066.0
2021-06-17,Angola,1314375.0,822109.0
2021-06-17,Venezuela,739962.0,588066.0
2021-06-18,Angola,1314375.0,822109.0
2021-06-18,Venezuela,739962.0,588066.0
2021-06-19,Angola,1314375.0,822109.0
2021-06-19,Venezuela,1302992.0,1079134.0
2021-06-20,Angola,1314375.0,822109.0
2021-06-20,Venezuela,1302992.0,1079134.0
2021-06-21,Angola,1380174.0,866381.0
2021-06-21,Venezuela,1302992.0,1079134.0
2021-06-22,Angola,1380174.0,866381.0
2021-06-22,Venezuela,1302992.0,1079134.0
2021-06-23,Angola,1380174.0,866381.0
2021-06-23,Venezuela,1302992.0,1079134.0
2021-06-24,Angola,1380174.0,866381.0
2021-06-24,Venezuela,1302992.0,1079134.0
