Country (or dependency),Population in 2023,World Percentage,Area (Km²),Density (P/Km²),ISO
Cuba,11194.449,0.14%,109_884 Km²,107.8463/Km²,CUB
South Sudan,11088.796,0.14%,619_745 Km²,17.5475/Km²,SSD
Sweden,10612.086,0.13%,450_295 Km²,26.0558/Km²,SWE
Honduras,10593.798,0.13%,112_492 Km²,94.6805/Km²,HND
Czech Republic,10495.295,0.13%,"78,865 Km²",135.9521/Km²,CZE
Azerbaijan,10412.651,0.13%,"86,600 Km²",125.9910/Km²,AZE
Greece,10341.277,0.13%,"131,990 Km²",80.2271/Km²,GRC
Papua New Guinea,10329.931,0.13%,"462,840 Km²",22.8104/Km²,PNG
Portugal,10247.605,0.13%,92_090 Km²,111.8666/Km²,PRT
Hungary,10156.239,0.13%,93_028 Km²,111.2891/Km²,HUN
Tajikistan,10143.543,0.13%,143_100 Km²,73.0855/Km²,TJK
United Arab Emirates,9516.871,0.12%,"83,600 Km²",134.0027/Km²,ARE
Belarus,9498.238,0.12%,"207,600 Km²",46.7940/Km²,BLR
Israel,9174.52,0.11%,"20,770 Km²",423.9612/Km²,ISR
Togo,9053.799,0.11%,56_785 Km²,166.4607/Km²,TGO
Austria,8958.96,0.11%,"83,871 Km²",108.5671/Km²,AUT
Switzerland,8796.669,0.11%,"41,284 Km²",222.6103/Km²,CHE
Sierra Leone,8791.092,0.11%,"71,740 Km²",121.7940/Km²,SLE
Laos,7633.779,0.10%,236_800 Km²,33.0753/Km²,LAO
Hong Kong,7491.609,0.09%,1_104 Km²,7134.8657/Km²,HKG
Serbia,7149.077,0.09%,"88,361 Km²",81.7411/Km²,SRB
Nicaragua,7046.31,0.09%,130_373 Km²,58.5533/Km²,NIC
Libya,6888.388,0.09%,"1,759,540 Km²",3.9149/Km²,LBY
Paraguay,6861.524,0.09%,"406,752 Km²",17.2704/Km²,PRY
Kyrgyzstan,6735.347,0.08%,199_951 Km²,35.1165/Km²,KGZ
Bulgaria,6687.717,0.08%,110_879 Km²,61.6039/Km²,BGR
Turkmenistan,6516.1,0.08%,488_100 Km²,13.8661/Km²,TKM
El Salvador,6364.943,0.08%,"21,041 Km²",307.1884/Km²,SLV
Republic of the Congo,6106.869,0.08%,"342,000 Km²",17.8825/Km²,COG
Singapore,6014.723,0.08%,710 Km²,8377.0515/Km²,SGP
Denmark,5910.913,0.07%,43_094 Km²,147.7728/Km²,DNK
Slovakia,5795.199,0.07%,"49,037 Km²",118.1849/Km²,SVK
Central African Republic,5742.315,0.07%,"622,984 Km²",9.2175/Km²,CAF
Finland,5545.475,0.07%,"338,424 Km²",18.2453/Km²,FIN
Norway,5474.36,0.07%,323_802 Km²,15.0277/Km²,NOR
Liberia,5418.377,0.07%,111_369 Km²,56.2539/Km²,LBR
Palestine,5371.23,0.07%,"6,220 Km²",892.2309/Km²,PSE
Lebanon,5353.93,0.07%,10_452 Km²,523.3558/Km²,LBN
New Zealand,5228.1,0.07%,270_467 Km²,19.8553/Km²,NZL
Costa Rica,5212.173,0.07%,51_100 Km²,102.0794/Km²,CRI
Ireland,5056.935,0.06%,"70,273 Km²",73.4059/Km²,IRL
Mauritania,4862.989,0.06%,"1,030,700 Km²",4.7181/Km²,MRT
Oman,4644.384,0.06%,309_500 Km²,15.0061/Km²,OMN
Panama,4468.087,0.06%,"75,417 Km²",60.2330/Km²,PAN
